direction,chrf++,spBLEU(spm-200),spBLEU(spm-100)
bjn_Latn-lit_Latn,44.8,24.1,24.1
bjn_Latn-lmo_Latn,29.6,7.7,7.7
bjn_Latn-ltg_Latn,41,22.6,24.5
bjn_Latn-ltz_Latn,43.5,23.5,25.3
bjn_Latn-lua_Latn,33.1,9.2,11
bjn_Latn-lug_Latn,36,11.3,13.6
bjn_Latn-luo_Latn,36.1,13.4,15.8
bjn_Latn-lus_Latn,35.1,13.1,14.9
bjn_Latn-lvs_Latn,44.2,24.1,24.6
bjn_Latn-mag_Deva,43.8,25.3,27.8
bjn_Latn-mai_Deva,32.6,13.9,17.8
bjn_Latn-mal_Mlym,43,28.9,29
bjn_Latn-mar_Deva,39.3,21.4,22.4
bjn_Latn-min_Latn,47.2,23.5,25.8
bjn_Latn-mkd_Cyrl,48.4,28.7,28.4
bjn_Latn-mlt_Latn,50.2,35.9,39.8
bjn_Latn-mni_Beng,33.1,21.4,31.9
bjn_Latn-mos_Latn,21.1,5.2,8.4
bjn_Latn-mri_Latn,41.3,18.7,21.6
bjn_Latn-mya_Mymr,26.1,12.2,15.1
bjn_Latn-nld_Latn,45.9,24.7,23.6
bjn_Latn-nno_Latn,43.3,22.2,21.9
bjn_Latn-nob_Latn,46.5,24.7,23.9
bjn_Latn-npi_Deva,41,22.8,23.8
bjn_Latn-nso_Latn,46.1,23.2,27
bjn_Latn-nus_Latn,27.1,12.5,15.8
bjn_Latn-nya_Latn,40.3,15.1,19.9
bjn_Latn-oci_Latn,44.8,25.6,26.3
bjn_Latn-ory_Orya,37.4,22.1,25.9
bjn_Latn-pag_Latn,41.3,17.7,19.2
bjn_Latn-pan_Guru,39.9,26.5,29.3
bjn_Latn-pap_Latn,46.4,26,26.9
bjn_Latn-pbt_Arab,33,17.3,16.8
bjn_Latn-pes_Arab,42,25.4,24.8
bjn_Latn-plt_Latn,44.8,19.9,22.5
bjn_Latn-pol_Latn,40.7,23.3,20.7
bjn_Latn-por_Latn,52.7,34.2,33.1
bjn_Latn-prs_Arab,41.6,21.7,21.2
bjn_Latn-quy_Latn,27.2,5.6,7.2
bjn_Latn-ron_Latn,49.7,31.7,30
bjn_Latn-run_Latn,37.6,16,19.7
bjn_Latn-rus_Cyrl,45.4,28.4,25.9
bjn_Latn-sag_Latn,33.5,9.5,11.6
bjn_Latn-san_Deva,23.6,6.5,8.6
bjn_Latn-sat_Olck,23.2,15.1,16.4
bjn_Latn-scn_Latn,39.1,17.6,18.3
bjn_Latn-shn_Mymr,31.6,12.4,21.4
bjn_Latn-sin_Sinh,37.5,28.8,25.4
bjn_Latn-slk_Latn,44.7,26.5,26
bjn_Latn-slv_Latn,45.3,25.6,25.4
bjn_Latn-smo_Latn,44.7,22.2,25.6
bjn_Latn-sna_Latn,39.5,16.5,20.3
bjn_Latn-snd_Arab,37.7,21.9,25.8
bjn_Latn-som_Latn,38.6,14.9,14.9
bjn_Latn-sot_Latn,41.6,17.6,20.6
bjn_Latn-spa_Latn,45,23.6,23.1
bjn_Latn-srd_Latn,45.4,24.4,25.6
bjn_Latn-srp_Cyrl,45.5,26.6,26.6
bjn_Latn-ssw_Latn,38.2,14.4,17.8
bjn_Latn-sun_Latn,41.6,18.4,19.2
bjn_Latn-swe_Latn,50.5,31,29.6
bjn_Latn-swh_Latn,50.6,28.1,28.7
bjn_Latn-szl_Latn,40.1,23.2,24.6
bjn_Latn-tam_Taml,45.2,26.8,26.6
bjn_Latn-taq_Latn,21.8,4.3,5
bjn_Latn-taq_Tfng,16.7,5.6,5.9
bjn_Latn-tat_Cyrl,41.7,24.3,32.6
bjn_Latn-tel_Telu,44.5,29.1,30.5
bjn_Latn-tgk_Cyrl,43.4,26.8,30.7
bjn_Latn-tgl_Latn,51.8,28.1,29.3
bjn_Latn-tha_Thai,37.2,29.9,20.4
bjn_Latn-tir_Ethi,22.1,14.3,16.5
bjn_Latn-tpi_Latn,39.6,15.9,20.2
bjn_Latn-tsn_Latn,43.6,20.8,24
bjn_Latn-tso_Latn,43.6,20.1,25.4
bjn_Latn-tuk_Latn,36,16.4,21.4
bjn_Latn-tum_Latn,30.7,9.8,13
bjn_Latn-tur_Latn,46.3,27.6,26.6
bjn_Latn-twi_Latn,33.6,12.3,17
bjn_Latn-tzm_Tfng,28.7,17.3,22.8
bjn_Latn-uig_Arab,38.1,23,35.1
bjn_Latn-ukr_Cyrl,44.1,26.8,25.6
bjn_Latn-umb_Latn,26.9,4.2,5.5
bjn_Latn-urd_Arab,40.3,21.6,21.1
bjn_Latn-uzn_Latn,41.5,20.3,23.3
bjn_Latn-vec_Latn,40.9,18.8,18.9
bjn_Latn-vie_Latn,50.9,33.8,33.4
bjn_Latn-war_Latn,46.7,23,24.1
bjn_Latn-wol_Latn,27.8,8.6,10.3
bjn_Latn-xho_Latn,42.9,20.4,24
bjn_Latn-ydd_Hebr,33.7,15.1,21.2
bjn_Latn-yor_Latn,25.9,12.3,15.9
bjn_Latn-yue_Hant,15.2,12.4,10.7
bjn_Latn-zho_Hans,19.8,23,19.6
bjn_Latn-zho_Hant,10.7,9,7.4
bjn_Latn-zsm_Latn,55.8,32.3,32
bjn_Latn-zul_Latn,44.2,22.3,25.8
bod_Tibt-ace_Arab,12.9,2.4,2.6
bod_Tibt-ace_Latn,25.5,4.1,5.4
bod_Tibt-acm_Arab,11.2,0.9,0.6
bod_Tibt-acq_Arab,20.5,7.8,5.7
bod_Tibt-aeb_Arab,19.8,5.1,3.6
bod_Tibt-afr_Latn,34.5,12.7,12.9
bod_Tibt-ajp_Arab,24.8,9.3,6.8
bod_Tibt-aka_Latn,24,4.9,8
bod_Tibt-als_Latn,33,12.9,12.9
bod_Tibt-amh_Ethi,19,10.9,12.2
bod_Tibt-apc_Arab,24.8,9.9,7.4
bod_Tibt-arb_Arab,29.1,14,11.1
bod_Tibt-ars_Arab,23.2,9.8,7.5
bod_Tibt-ary_Arab,20.6,5,3.4
bod_Tibt-arz_Arab,23.3,7.5,5.3
bod_Tibt-asm_Beng,23.9,10.6,13.9
bod_Tibt-ast_Latn,31.2,10.5,11.5
bod_Tibt-awa_Deva,23.5,8.2,9.6
bod_Tibt-ayr_Latn,25.8,4.6,8
bod_Tibt-azb_Arab,16.4,2.2,1.9
bod_Tibt-azj_Latn,27.4,10.1,8.7
bod_Tibt-bak_Cyrl,29.8,12.5,22.7
bod_Tibt-bam_Latn,22.4,3.9,6.1
bod_Tibt-ban_Latn,30,6.8,8.5
bod_Tibt-bel_Cyrl,26.2,11,9.4
bod_Tibt-bem_Latn,26.7,5,6.7
bod_Tibt-ben_Beng,27.9,13.4,14.2
bod_Tibt-bho_Deva,25.5,9,10.9
bod_Tibt-bjn_Arab,13.1,2.5,2.5
bod_Tibt-bjn_Latn,30.8,7.2,7.5
bod_Tibt-bos_Latn,31.6,12.1,11.2
bod_Tibt-bug_Latn,24.3,3.8,5.2
bod_Tibt-bul_Cyrl,34.1,15.5,14
bod_Tibt-cat_Latn,34.7,15.1,15.4
bod_Tibt-ceb_Latn,36.8,13.1,14
bod_Tibt-ces_Latn,29.4,12.5,11.6
bod_Tibt-cjk_Latn,19.8,1.7,2.2
bod_Tibt-ckb_Arab,28.7,9.9,11.2
bod_Tibt-crh_Latn,29.1,10.3,12.1
bod_Tibt-cym_Latn,34.1,17,17.4
bod_Tibt-dan_Latn,35.1,14.4,13.9
bod_Tibt-deu_Latn,33.4,13.1,11.8
bod_Tibt-dik_Latn,18.4,2.9,4.2
bod_Tibt-dyu_Latn,16.1,1.5,1.6
bod_Tibt-dzo_Tibt,28.4,7.7,2
bod_Tibt-ell_Grek,29.9,14.9,12.6
bod_Tibt-eng_Latn,38.8,17.9,17.2
bod_Tibt-epo_Latn,32.2,12,13.1
bod_Tibt-est_Latn,31.4,11,10.9
bod_Tibt-eus_Latn,30.4,9.9,10.7
bod_Tibt-ewe_Latn,28.4,8.3,12.5
bod_Tibt-fao_Latn,28.7,10.2,11
bod_Tibt-fij_Latn,36.3,12.1,15.4
bod_Tibt-fin_Latn,31.1,10.9,10
bod_Tibt-fon_Latn,16.8,3.8,6.3
bod_Tibt-fra_Latn,34.9,16.1,15.5
bod_Tibt-fur_Latn,29.5,11,12.3
bod_Tibt-fuv_Latn,18.1,2.2,2.6
bod_Tibt-gaz_Latn,27.7,5.9,7.2
bod_Tibt-gla_Latn,32.1,11.4,13.8
bod_Tibt-gle_Latn,32.6,13.5,15.9
bod_Tibt-glg_Latn,33.3,12.7,13.1
bod_Tibt-grn_Latn,24.3,6.6,8.6
bod_Tibt-guj_Gujr,29,13.5,15.8
bod_Tibt-hat_Latn,30.7,10.1,11.7
bod_Tibt-hau_Latn,32.9,10.4,11.8
bod_Tibt-heb_Hebr,27.2,12.4,11.2
bod_Tibt-hin_Deva,30.5,13.3,14.5
bod_Tibt-hne_Deva,27.3,10,13.3
bod_Tibt-hrv_Latn,32,12.4,11.4
bod_Tibt-hun_Latn,31,12.8,11.3
bod_Tibt-hye_Armn,30.6,14.6,14.3
bod_Tibt-ibo_Latn,28,9.1,12.6
bod_Tibt-ilo_Latn,35.6,11.4,12.9
bod_Tibt-ind_Latn,39.6,15,14.8
bod_Tibt-isl_Latn,29.6,12.1,11.6
bod_Tibt-ita_Latn,32.8,12.8,12.4
bod_Tibt-jav_Latn,32.4,9,10.7
bod_Tibt-jpn_Jpan,13.3,7,9.4
bod_Tibt-kab_Latn,24.7,7.6,9.1
bod_Tibt-kac_Latn,32,9,10.8
bod_Tibt-kam_Latn,21.6,3.2,4.4
bod_Tibt-kan_Knda,30.3,14.4,15.2
bod_Tibt-kas_Arab,19.9,7.4,8.5
bod_Tibt-kas_Deva,11.7,1.9,2.6
bod_Tibt-kat_Geor,30.1,14.4,13.1
bod_Tibt-kaz_Cyrl,28.8,11,11.4
bod_Tibt-kbp_Latn,21.8,5.8,12.7
bod_Tibt-kea_Latn,24.7,6.5,7.1
bod_Tibt-khk_Cyrl,28.4,12,10.1
bod_Tibt-khm_Khmr,23.7,10.4,9.2
bod_Tibt-kik_Latn,24.5,5.5,10.3
bod_Tibt-kin_Latn,31.8,10,13.8
bod_Tibt-kir_Cyrl,29.1,11.6,13.5
bod_Tibt-kmb_Latn,21.2,2.2,3.2
bod_Tibt-kmr_Latn,25.8,8.2,9.5
bod_Tibt-knc_Arab,9.8,4.5,4.5
bod_Tibt-knc_Latn,21.4,3.8,4.4
bod_Tibt-kon_Latn,34.5,9.8,13.6
bod_Tibt-kor_Hang,17.9,10.1,11.1
bod_Tibt-lao_Laoo,28.3,13.3,15.8
bod_Tibt-lij_Latn,27,11.3,11.6
bod_Tibt-lim_Latn,25.9,7,7
bod_Tibt-lin_Latn,35.8,10.7,13.3
bod_Tibt-lit_Latn,31.8,12.4,12.1
bod_Tibt-lmo_Latn,21.6,3.5,3.5
bod_Tibt-ltg_Latn,27.4,10,11.6
bod_Tibt-ltz_Latn,29.8,10.6,12.1
bod_Tibt-lua_Latn,27.4,4.5,6.2
bod_Tibt-lug_Latn,27.7,5.4,6.8
bod_Tibt-luo_Latn,28.8,7.2,9.3
bod_Tibt-lus_Latn,29.8,9.1,11
bod_Tibt-lvs_Latn,31.1,11.5,11.9
bod_Tibt-mag_Deva,29.2,12.1,14.1
bod_Tibt-mai_Deva,23.5,7,10.7
bod_Tibt-mal_Mlym,28.8,13.7,13.6
bod_Tibt-mar_Deva,27.2,10.5,11
bod_Tibt-min_Latn,32,9.3,11.1
bod_Tibt-mkd_Cyrl,33.9,13.4,13.2
bod_Tibt-mlt_Latn,31.9,16.7,20.1
bod_Tibt-mni_Beng,24.8,12.3,22.2
bod_Tibt-mos_Latn,18.2,3,6.1
bod_Tibt-mri_Latn,32.4,10.2,12.2
bod_Tibt-mya_Mymr,20.3,7.2,9.2
bod_Tibt-nld_Latn,34,13,12.3
bod_Tibt-nno_Latn,29,9.1,9
bod_Tibt-nob_Latn,32.5,11.1,10.7
bod_Tibt-npi_Deva,26.7,10.3,10.8
bod_Tibt-nso_Latn,33.2,10.3,13.2
bod_Tibt-nus_Latn,22.9,9.5,12.2
bod_Tibt-nya_Latn,31,6.9,11.1
bod_Tibt-oci_Latn,30.7,11.7,12.4
bod_Tibt-ory_Orya,25.8,11.4,13.9
bod_Tibt-pag_Latn,32,9.4,11
bod_Tibt-pan_Guru,27.7,13.7,15.6
bod_Tibt-pap_Latn,32,11.7,12.5
bod_Tibt-pbt_Arab,24.6,9.8,9.2
bod_Tibt-pes_Arab,29.2,12.1,11.6
bod_Tibt-plt_Latn,35.1,10.9,12.8
bod_Tibt-pol_Latn,29.1,12.1,10.3
bod_Tibt-por_Latn,35,14.7,14.1
bod_Tibt-prs_Arab,29.7,10.4,9.8
bod_Tibt-quy_Latn,23.3,3.2,4.7
bod_Tibt-ron_Latn,33.2,15.1,13.6
bod_Tibt-run_Latn,29.1,8.7,11.5
bod_Tibt-rus_Cyrl,31.1,13.7,12.2
bod_Tibt-sag_Latn,28.3,5.7,7.6
bod_Tibt-san_Deva,18.1,3.4,5
bod_Tibt-sat_Olck,16.7,9.3,10.5
bod_Tibt-scn_Latn,27.2,7.7,8.2
bod_Tibt-shn_Mymr,24.8,7.3,14.2
bod_Tibt-sin_Sinh,24.4,14.4,12.2
bod_Tibt-slk_Latn,30.3,12.5,12
bod_Tibt-slv_Latn,31.6,12,11.8
bod_Tibt-smo_Latn,35,12.7,15.6
bod_Tibt-sna_Latn,30.6,8.2,11.3
bod_Tibt-snd_Arab,26.1,11,13.8
bod_Tibt-som_Latn,29.4,7.4,7.4
bod_Tibt-sot_Latn,31.4,8.5,10.8
bod_Tibt-spa_Latn,32.9,12,11.9
bod_Tibt-srd_Latn,31.8,11.2,12.1
bod_Tibt-srp_Cyrl,31.3,12.6,12.5
bod_Tibt-ssw_Latn,29.4,7.4,10.2
bod_Tibt-sun_Latn,29.5,7.7,8.5
bod_Tibt-swe_Latn,33.6,13.6,12.5
bod_Tibt-swh_Latn,35.9,12.7,13.4
bod_Tibt-szl_Latn,25.2,9.2,10.2
bod_Tibt-tam_Taml,32,13.7,13.5
bod_Tibt-taq_Latn,17.3,2.2,2.9
bod_Tibt-taq_Tfng,13.9,3,4
bod_Tibt-tat_Cyrl,29.2,12,19.7
bod_Tibt-tel_Telu,30.1,14.8,15.6
bod_Tibt-tgk_Cyrl,29.7,12.8,15.7
bod_Tibt-tgl_Latn,37.4,13.3,14.3
bod_Tibt-tha_Thai,25.6,15.9,9.5
bod_Tibt-tir_Ethi,15.8,7.8,9.4
bod_Tibt-tpi_Latn,33.7,9.5,13.9
bod_Tibt-tsn_Latn,33.8,11,13.7
bod_Tibt-tso_Latn,34.2,10.6,15.6
bod_Tibt-tuk_Latn,26.7,8.9,12.8
bod_Tibt-tum_Latn,26.3,5.9,9.4
bod_Tibt-tur_Latn,31.1,12.4,11.5
bod_Tibt-twi_Latn,26.8,6.8,10.8
bod_Tibt-tzm_Tfng,23,11.2,16.5
bod_Tibt-uig_Arab,22.4,7.9,16.1
bod_Tibt-ukr_Cyrl,29.6,12.2,11.4
bod_Tibt-umb_Latn,22.2,1.8,2.9
bod_Tibt-urd_Arab,28.8,11.7,11.3
bod_Tibt-uzn_Latn,29.7,11.4,13.1
bod_Tibt-vec_Latn,28,7.5,7.4
bod_Tibt-vie_Latn,35.1,16.6,16.2
bod_Tibt-war_Latn,34.9,10.9,12
bod_Tibt-wol_Latn,21.2,4.4,5.8
bod_Tibt-xho_Latn,29.8,8.5,11
bod_Tibt-ydd_Hebr,24,6.6,11.3
bod_Tibt-yor_Latn,20.2,7.1,10.3
bod_Tibt-yue_Hant,8.9,6.3,5.3
bod_Tibt-zho_Hans,10.6,10.3,8.1
bod_Tibt-zho_Hant,7.4,5.7,4.6
bod_Tibt-zsm_Latn,38.6,13.6,13.5
bod_Tibt-zul_Latn,31.8,10.1,12.9
bos_Latn-ace_Arab,16.4,4.7,4.8
bos_Latn-ace_Latn,33.8,9.3,10.2
bos_Latn-acm_Arab,23.7,6.6,4.8
bos_Latn-acq_Arab,34.4,18.7,15.1
bos_Latn-aeb_Arab,32.5,16.3,12.9
bos_Latn-afr_Latn,54.9,32.5,33
bos_Latn-ajp_Arab,42.3,26.6,22
bos_Latn-aka_Latn,28.7,8.4,12
bos_Latn-als_Latn,52.1,32,32.1
bos_Latn-amh_Ethi,33.2,25.6,27.7
bos_Latn-apc_Arab,42.2,26.9,23
bos_Latn-arb_Arab,47.3,32.2,27.9
bos_Latn-ars_Arab,40.1,24.9,21
bos_Latn-ary_Arab,34.3,18.5,14.2
bos_Latn-arz_Arab,41.2,25.9,21.8
bos_Latn-asm_Beng,33.2,19.7,24.4
bos_Latn-ast_Latn,49.9,27.3,28.8
bos_Latn-awa_Deva,36.3,18.2,20.1
bos_Latn-ayr_Latn,29.2,7.2,10.8
bos_Latn-azb_Arab,20.5,4.1,3.7
bos_Latn-azj_Latn,40.4,22,19.9
bos_Latn-bak_Cyrl,45.5,28,39
bos_Latn-bam_Latn,27.9,7.4,10.4
bos_Latn-ban_Latn,40.4,15.2,17.2
bos_Latn-bel_Cyrl,39.8,24.9,22.5
bos_Latn-bem_Latn,33.8,10.1,12.2
bos_Latn-ben_Beng,42.6,28,29.8
bos_Latn-bho_Deva,37.9,18.7,21.6
bos_Latn-bjn_Arab,16.9,5.1,5.1
bos_Latn-bjn_Latn,42.8,16.3,16.6
bos_Latn-bod_Tibt,27.6,6.7,1.3
bos_Latn-bug_Latn,30.6,7.1,8.5
bos_Latn-bul_Cyrl,57.6,41,38.8
bos_Latn-cat_Latn,56.4,37.8,37.8
bos_Latn-ceb_Latn,51,27.1,28.8
bos_Latn-ces_Latn,51.4,35,33.7
bos_Latn-cjk_Latn,23.2,3.3,4.1
bos_Latn-ckb_Arab,41.2,20.8,23.3
bos_Latn-crh_Latn,43.4,23.8,26.2
bos_Latn-cym_Latn,56.6,40.5,41.5
bos_Latn-dan_Latn,57,37.5,36.8
bos_Latn-deu_Latn,55.5,36.9,35
bos_Latn-dik_Latn,22.4,4.8,6.3
bos_Latn-dyu_Latn,17.6,2.4,2.5
bos_Latn-dzo_Tibt,32.7,11.4,3.5
bos_Latn-ell_Grek,47.4,33.4,30.6
bos_Latn-eng_Latn,67.1,49.1,48.1
bos_Latn-epo_Latn,50.5,30.2,31.7
bos_Latn-est_Latn,50.9,30,30.2
bos_Latn-eus_Latn,44,22.3,23.6
bos_Latn-ewe_Latn,35.7,14.5,19.6
bos_Latn-fao_Latn,43.4,24.1,25.8
bos_Latn-fij_Latn,43.6,19.9,23.4
bos_Latn-fin_Latn,48.6,28.8,27.4
bos_Latn-fon_Latn,19.5,5.4,8.6
bos_Latn-fra_Latn,60.1,43.3,42.3
bos_Latn-fur_Latn,49.4,30.5,32.5
bos_Latn-fuv_Latn,22,4.6,4.9
bos_Latn-gaz_Latn,34.9,10.7,12.7
bos_Latn-gla_Latn,45.8,24,28.1
bos_Latn-gle_Latn,49.9,31.4,34.9
bos_Latn-glg_Latn,54.2,33.4,34.2
bos_Latn-grn_Latn,32.2,12.6,14.7
bos_Latn-guj_Gujr,45.4,29,32.9
bos_Latn-hat_Latn,46.8,24.7,27.2
bos_Latn-hau_Latn,46.3,22.8,24.9
bos_Latn-heb_Hebr,50.2,35.4,33.4
bos_Latn-hin_Deva,48.5,30.7,32.7
bos_Latn-hne_Deva,44.1,23.6,28.5
bos_Latn-hrv_Latn,55,36.2,34.4
bos_Latn-hun_Latn,49.9,31.8,29.8
bos_Latn-hye_Armn,48.8,34.9,34.4
bos_Latn-ibo_Latn,37.8,17,22
bos_Latn-ilo_Latn,47.6,22.5,24.7
bos_Latn-ind_Latn,60.2,37,36.8
bos_Latn-isl_Latn,44,26.9,26.2
bos_Latn-ita_Latn,52,31.8,31
bos_Latn-jav_Latn,47.9,22.4,25
bos_Latn-jpn_Jpan,23.3,16.2,19.9
bos_Latn-kab_Latn,32.6,14.1,16.3
bos_Latn-kac_Latn,35.4,12.5,14.4
bos_Latn-kam_Latn,24.3,5.1,6.1
bos_Latn-kan_Knda,46.4,31.6,32.8
bos_Latn-kas_Arab,29.4,14.5,16
bos_Latn-kas_Deva,14.9,3.4,4.3
bos_Latn-kat_Geor,44.9,30.7,29
bos_Latn-kaz_Cyrl,46.5,28.3,29.1
bos_Latn-kbp_Latn,25.8,9.5,16.9
bos_Latn-kea_Latn,38,17.2,18
bos_Latn-khk_Cyrl,39.9,22.7,19.9
bos_Latn-khm_Khmr,34.9,20.8,19.8
bos_Latn-kik_Latn,30.4,10,15.7
bos_Latn-kin_Latn,45.4,22,27.8
bos_Latn-kir_Cyrl,42.9,25.4,27.9
bos_Latn-kmb_Latn,24.2,4.1,5.3
bos_Latn-kmr_Latn,35.7,16.5,18.2
bos_Latn-knc_Arab,9.6,5.4,5.5
bos_Latn-knc_Latn,25,6.1,6.7
bos_Latn-kon_Latn,43,17,21.7
bos_Latn-kor_Hang,31,23.3,24.9
bos_Latn-lao_Laoo,41.6,26.5,30.2
bos_Latn-lij_Latn,45,27.6,28.1
bos_Latn-lim_Latn,39.4,17.4,17.4
bos_Latn-lin_Latn,45.8,19.6,23.3
bos_Latn-lit_Latn,50.6,30.6,30.7
bos_Latn-lmo_Latn,31,8,8.1
bos_Latn-ltg_Latn,45.9,27.7,29.7
bos_Latn-ltz_Latn,48.6,28.4,30.2
bos_Latn-lua_Latn,33.1,8.4,10.4
bos_Latn-lug_Latn,36.5,11.2,13.8
bos_Latn-luo_Latn,35.8,12.3,15.1
bos_Latn-lus_Latn,35.3,12.9,15.1
bos_Latn-lvs_Latn,49.6,29.2,29.8
bos_Latn-mag_Deva,46.8,27.3,29.8
bos_Latn-mai_Deva,36.5,16.9,21.8
bos_Latn-mal_Mlym,43.9,29.5,29.4
bos_Latn-mar_Deva,41.1,23.2,24.4
bos_Latn-min_Latn,46.5,22.2,24.5
bos_Latn-mkd_Cyrl,56.5,37.4,37.1
bos_Latn-mlt_Latn,54,38.4,43.5
bos_Latn-mni_Beng,33.5,22,32.8
bos_Latn-mos_Latn,22.1,5.4,9.1
bos_Latn-mri_Latn,40.8,17.3,19.9
bos_Latn-mya_Mymr,27.2,13.3,16.5
bos_Latn-nld_Latn,50.5,29.8,28.6
bos_Latn-nno_Latn,44.1,22.9,22.8
bos_Latn-nob_Latn,51.8,30,29.3
bos_Latn-npi_Deva,41.3,23.2,24.1
bos_Latn-nso_Latn,46.1,21.6,25.7
bos_Latn-nus_Latn,27.3,12.6,15.8
bos_Latn-nya_Latn,41.1,14.5,20.2
bos_Latn-oci_Latn,49.8,30.3,31.1
bos_Latn-ory_Orya,38.5,23.4,27.2
bos_Latn-pag_Latn,42.8,18,19.8
bos_Latn-pan_Guru,42.3,29,32.1
bos_Latn-pap_Latn,51,30.5,31.7
bos_Latn-pbt_Arab,35,18.6,18.1
bos_Latn-pes_Arab,43.4,26.8,26.2
bos_Latn-plt_Latn,47.4,22.1,25.2
bos_Latn-pol_Latn,46,29,26.4
bos_Latn-por_Latn,57.6,38.5,37.4
bos_Latn-prs_Arab,46.9,26.8,26.4
bos_Latn-quy_Latn,25.8,5,6.3
bos_Latn-ron_Latn,52.8,33.8,31.9
bos_Latn-run_Latn,39.2,17.4,21.5
bos_Latn-rus_Cyrl,51.5,35.1,32.3
bos_Latn-sag_Latn,33.7,9.1,11.5
bos_Latn-san_Deva,23.6,6.5,8.8
bos_Latn-sat_Olck,22.7,14.7,15.8
bos_Latn-scn_Latn,41.9,19.5,20.3
bos_Latn-shn_Mymr,32.6,13.6,23.1
bos_Latn-sin_Sinh,37.7,29.3,25.9
bos_Latn-slk_Latn,52.6,35.2,34.6
bos_Latn-slv_Latn,52.1,33,32.6
bos_Latn-smo_Latn,45.7,22.2,26.5
bos_Latn-sna_Latn,40.7,16.8,21
bos_Latn-snd_Arab,40.7,24.6,28.9
bos_Latn-som_Latn,39,14.7,14.8
bos_Latn-sot_Latn,41.9,16.6,20.4
bos_Latn-spa_Latn,49.9,28.5,27.8
bos_Latn-srd_Latn,49.5,28.6,29.9
bos_Latn-srp_Cyrl,55.5,38.1,38.1
bos_Latn-ssw_Latn,39.7,16,20.1
bos_Latn-sun_Latn,41.8,17.7,18.8
bos_Latn-swe_Latn,56.3,37.4,35.7
bos_Latn-swh_Latn,52.6,29.6,30.5
bos_Latn-szl_Latn,45.6,29,30.5
bos_Latn-tam_Taml,46.6,28.3,28.3
bos_Latn-taq_Latn,21.6,4,4.8
bos_Latn-taq_Tfng,15.9,4.9,5.4
bos_Latn-tat_Cyrl,44.6,27.3,35.8
bos_Latn-tel_Telu,46.6,31.2,32.7
bos_Latn-tgk_Cyrl,46.7,30.4,34.3
bos_Latn-tgl_Latn,53.9,29.5,31.1
bos_Latn-tha_Thai,37.8,30.4,20.8
bos_Latn-tir_Ethi,23.5,15.3,17.9
bos_Latn-tpi_Latn,39.1,15,19.7
bos_Latn-tsn_Latn,44.6,21.2,24.9
bos_Latn-tso_Latn,45.6,21.4,27.9
bos_Latn-tuk_Latn,38.6,18.7,24
bos_Latn-tum_Latn,32.6,11,15.4
bos_Latn-tur_Latn,49.7,31,29.9
bos_Latn-twi_Latn,34.5,12.2,17.8
bos_Latn-tzm_Tfng,30,18.6,23.8
bos_Latn-uig_Arab,28.4,14.2,23.6
bos_Latn-ukr_Cyrl,50.8,33.5,32.2
bos_Latn-umb_Latn,24.5,3.2,4.4
bos_Latn-urd_Arab,43.3,24.8,24.4
bos_Latn-uzn_Latn,46.5,27.2,30
bos_Latn-vec_Latn,44.5,21.1,21.4
bos_Latn-vie_Latn,54.3,36.5,36.2
bos_Latn-war_Latn,48.8,24.6,26.2
bos_Latn-wol_Latn,27.5,8.5,10.2
bos_Latn-xho_Latn,43.2,20.1,24.3
bos_Latn-ydd_Hebr,33.2,13,19.5
bos_Latn-yor_Latn,24,9,12.4
bos_Latn-yue_Hant,15.3,12.4,10.7
bos_Latn-zho_Hans,18.7,20.4,17.1
bos_Latn-zho_Hant,11.6,10,8.4
bos_Latn-zsm_Latn,57.6,33.3,33
bos_Latn-zul_Latn,47,24.2,28.7
bug_Latn-ace_Arab,15.5,4.3,4.6
bug_Latn-ace_Latn,29.7,7,7.4
bug_Latn-acm_Arab,18.7,4.1,2.9
bug_Latn-acq_Arab,21.8,10.6,8.4
bug_Latn-aeb_Arab,25.5,10.1,7.7
bug_Latn-afr_Latn,40,18.4,18.6
bug_Latn-ajp_Arab,30.5,15.6,12.6
bug_Latn-aka_Latn,26.4,7.2,9.7
bug_Latn-als_Latn,37.6,17.6,17.6
bug_Latn-amh_Ethi,23.9,17.4,18.8
bug_Latn-apc_Arab,30.9,16.8,13.8
bug_Latn-arb_Arab,35.3,20.5,16.9
bug_Latn-ars_Arab,24.3,12.1,10.4
bug_Latn-ary_Arab,27.1,11.6,9
bug_Latn-arz_Arab,30.6,15.4,12.3
bug_Latn-asm_Beng,25.3,13.2,16.2
bug_Latn-ast_Latn,36.7,15.8,16.7
bug_Latn-awa_Deva,27,12.5,14
bug_Latn-ayr_Latn,27.2,6.1,9
bug_Latn-azb_Arab,19.1,3.4,3.1
bug_Latn-azj_Latn,30.9,13.3,11.7
bug_Latn-bak_Cyrl,32.6,15.9,24.2
bug_Latn-bam_Latn,24.5,5.6,7.7
bug_Latn-ban_Latn,35.2,12,13.1
bug_Latn-bel_Cyrl,30,15.3,13.3
bug_Latn-bem_Latn,30,7.9,9.2
bug_Latn-ben_Beng,32,19,19.8
bug_Latn-bho_Deva,29.7,12.8,14.8
bug_Latn-bjn_Arab,14.9,4.2,4.2
bug_Latn-bjn_Latn,37,12.8,12.9
bug_Latn-bod_Tibt,24.1,4.9,1.6
bug_Latn-bos_Latn,36.8,17.3,16
bug_Latn-bul_Cyrl,39.3,21.5,19.7
